Country Name,Country Code,Population,0-14,15-64,65+,Female
Mongolia,MNG,2959134,28.22788694,67.72829483,4.043818225,50.50041668
Montenegro,MNE,622388,18.6549288,67.70004203,13.64502917,50.58798525
Morocco,MAR,34377511,27.22206096,66.60970016,6.168238882,50.58029652
Mozambique,MOZ,27977863,45.30351728,51.34779236,3.348690356,51.15352448
Myanmar,MMR,53897154,27.55060128,67.08972611,5.359672609,51.13845158
Namibia,NAM,2458830,36.69013311,59.78473502,3.525131872,51.32693191
Nauru,NRU,10222,..,..,..,..
Nepal,NPL,28513700,32.66410883,61.78875768,5.547133483,51.54444355
Netherlands,NLD,16936520,16.52327168,65.24625894,18.23046939,50.36536933
New Caledonia,NCL,273000,22.2269096,67.60388875,10.16920165,49.55685282
New Zealand,NZL,4595700,20.20690618,64.93159143,14.8615024,51.12928578
Nicaragua,NIC,6082032,30.03428788,64.88035578,5.085356341,50.70770756
Niger,NER,19899120,50.46557838,46.95435276,2.580068867,49.60000744
Nigeria,NGA,182201962,43.98916681,53.27411348,2.736719707,49.07357254
Northern Mariana Islands,MNP,55070,..,..,..,..
Norway,NOR,5195921,17.96854595,65.69853542,16.33291863,49.62923388
Oman,OMN,4490541,20.52080139,76.89815102,2.581047584,33.66886083
Pakistan,PAK,188924874,35.00983783,60.49778125,4.492380924,48.62915563
Palau,PLW,21291,..,..,..,..
Panama,PAN,3929141,27.16456345,65.20315764,7.632278913,49.8684318
Papua New Guinea,PNG,7619321,37.14219417,59.84811507,3.009690759,48.98773788
Paraguay,PRY,6639123,30.13382942,63.84570673,6.020463847,49.25344808
Peru,PER,31376670,27.89561799,65.27923773,6.825144287,50.04852969
Philippines,PHL,100699395,31.94853554,63.47181927,4.579645191,49.54035623
Poland,POL,37999494,14.9462804,69.52039576,15.53332383,51.63734946
Portugal,PRT,10348648,14.05332063,65.15521117,20.7914682,52.65089587
Puerto Rico,PRI,3474182,18.87662432,66.65588811,14.46748757,51.92876485
Qatar,QAT,2235355,15.52156145,83.29536024,1.183078303,27.36191791
Romania,ROU,19832389,15.52058179,67.16542148,17.31399673,51.56158034
Russian Federation,RUS,144096812,16.75191851,69.88223879,13.3658427,53.5442083
Rwanda,RWA,11609666,41.05201648,56.1581272,2.789856315,52.1126103
Samoa,WSM,193228,37.29066181,57.47562465,5.23371354,48.43190428
San Marino,SMR,31781,..,..,..,..
Sao Tome and Principe,STP,190344,42.62755853,54.28697516,3.085466314,50.21697558
Saudi Arabia,SAU,31540372,28.58201229,68.55568159,2.862306126,43.45054015
Senegal,SEN,15129273,43.76209617,53.30437887,2.933524962,50.89863208
Serbia,SRB,7098247,16.3003172,66.61731617,17.08236663,51.19580611
Seychelles,SYC,92900,23.44538773,69.67586114,6.878751127,49.34643572
Sierra Leone,SLE,6453184,42.36293278,54.9675788,2.669488426,50.51684564
Singapore,SGP,5535002,15.54295881,72.77632438,11.68071681,50.65732886
Sint Maarten (Dutch part),SXM,38817,..,..,..,..
Slovak Republic,SVK,5424050,15.12364506,71.03128897,13.84506597,51.52948865
Slovenia,SVN,2063768,14.78443318,67.24718335,17.96838347,50.43215902
Solomon Islands,SLB,583591,39.48912852,57.11585682,3.395014659,49.22419982
Somalia,SOM,10787104,46.7050656,50.47089562,2.824038778,50.23745947
South Africa,ZAF,54956920,29.23922975,65.72740897,5.033361286,50.82206581
South Sudan,SSD,12339812,42.08594102,54.44959777,3.464461209,49.92442348
Spain,ESP,46418269,14.88167858,66.32885532,18.7894661,50.94803207
Sri Lanka,LKA,20966000,24.57383318,66.12291763,9.30324919,51.82592719
St. Kitts and Nevis,KNA,55572,..,..,..,..
St. Lucia,LCA,184999,23.12553041,67.87712366,8.997345932,50.9408159
St. Martin (French part),MAF,31754,..,..,..,..
St. Vincent and the Grenadines,VCT,109462,24.52906031,68.13871481,7.332224882,49.54230692
Sudan,SDN,40234882,40.50326282,56.16869213,3.328045053,49.8022164
Suriname,SUR,542975,26.78189604,66.33233574,6.885768221,49.89861412
Swaziland,SWZ,1286970,37.35495,59.0622159,3.582834099,50.5472544
Sweden,SWE,9798871,17.2848795,62.77310141,19.94201909,50.02961319
Switzerland,CHE,8286976,14.77535598,67.182798,18.04184602,50.48160167
Syrian Arab Republic,SYR,18502413,37.12271475,58.81298834,4.064296911,49.37682453
Tajikistan,TJK,8481855,34.83754438,62.15616749,3.006288129,49.35257677
Tanzania,TZA,53470420,45.19869303,51.59933848,3.20196849,50.30106178
Thailand,THA,67959359,17.71077182,71.81735778,10.4718704,50.7135007
Timor-Leste,TMP,1245015,42.41102666,52.0088794,5.580093943,49.22427654
Togo,TGO,7304578,42.2391273,54.99609971,2.764772996,50.59132779
Tonga,TON,106170,36.76368089,57.36272017,5.873598945,49.85494961
Trinidad and Tobago,TTO,1360088,20.77990542,69.80827711,9.411817471,50.65870738
Tunisia,TUN,11107800,23.3567369,69.05117263,7.592090463,50.58374448
Turkey,TUR,78665830,25.67050777,66.79079468,7.538697551,50.83689831
Turkmenistan,TKM,5373502,28.2240148,67.62091091,4.155074289,50.85688998
Turks and Caicos Islands,TCA,34339,..,..,..,..
Tuvalu,TUV,9916,..,..,..,..
Uganda,UGA,39032383,48.0906559,49.42045429,2.488889802,50.02309236
Ukraine,UKR,45198200,14.92761708,69.76619211,15.30619081,53.6866303
United Arab Emirates,ARE,9156963,13.93747032,84.92465242,1.137877263,26.74147531
United Kingdom,GBR,65138232,17.77422086,64.46540961,17.76036953,50.70973538
United States,USA,321418820,18.95034556,66.26358516,14.78606928,50.43292656
Uruguay,URY,3431555,21.41498533,64.15050903,14.43450564,51.73036714
Uzbekistan,UZB,31299500,28.51991711,66.82234606,4.657736829,50.82725709
Vanuatu,VUT,264652,36.53099164,59.26990916,4.199099194,49.34668924
"Venezuela, RB",VEN,31108083,28.10541235,65.62759267,6.26699498,50.21486538
Vietnam,VNM,91703800,23.08968745,70.16980564,6.740506907,50.53434384
Virgin Islands (U.S.),VIR,103574,20.36108419,62.03535577,17.60356004,52.36285292
West Bank and Gaza,WBG,4422143,40.22265558,56.81757134,2.959773082,49.3034757
"Yemen, Rep.",YEM,26832215,40.2638023,56.94918217,2.787015533,49.48876938
Zambia,ZMB,16211767,45.91490243,51.17646337,2.908634204,50.07547913
Zimbabwe,ZWE,15602751,41.60034343,55.43512807,2.964528499,50.72947713
